,Line Type,Plan Type,Data Type,Promo Type,Model,Promo Value,Brand,Week,Date,Retailer,Type
0,NULL,Rate Plan,NULL,Gift Card,Samsung Galaxy S22+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Rate Plan Discount(Max),Samsung Galaxy S22+,144,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Instant Discount,Samsung Galaxy S22+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Cashback,Samsung Galaxy S22+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Tradein Bumpup,Samsung Galaxy S22+,50,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Free Subscription,Samsung Galaxy S22+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Bundle,Samsung Galaxy S23+,15,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Free Subscription,Samsung Galaxy S23+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Merchandise,Samsung Galaxy S23+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Device Cost discount,Samsung Galaxy S23+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Instant Discount,Samsung Galaxy S23+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Cashback,Samsung Galaxy S23+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Tradein Bumpup,Samsung Galaxy S23+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Bundle,Samsung Galaxy S23+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Merchandise,Samsung Galaxy S23+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Gift Card,Samsung Galaxy S23+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Rate Plan Discount(Max),Samsung Galaxy S23+,144,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Instant Discount,Samsung Galaxy S23+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Cashback,Samsung Galaxy S23+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Tradein Bumpup,Samsung Galaxy S23+,150,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Free Subscription,Samsung Galaxy S23+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Bundle,Apple iPhone 14 Pro Max,12,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Free Subscription,Apple iPhone 14 Pro Max,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Merchandise,Apple iPhone 14 Pro Max,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Device Cost discount,Apple iPhone 14 Pro Max,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Instant Discount,Apple iPhone 14 Pro Max,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Cashback,Apple iPhone 14 Pro Max,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Tradein Bumpup,Apple iPhone 14 Pro Max,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Bundle,Apple iPhone 14 Pro Max,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Merchandise,Apple iPhone 14 Pro Max,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Gift Card,Apple iPhone 14 Pro Max,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Rate Plan Discount(Max),Apple iPhone 14 Pro Max,144,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Instant Discount,Apple iPhone 14 Pro Max,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Cashback,Apple iPhone 14 Pro Max,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Tradein Bumpup,Apple iPhone 14 Pro Max,50,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Free Subscription,Apple iPhone 14 Pro Max,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Bundle,Apple iPhone 14 Pro,12,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Free Subscription,Apple iPhone 14 Pro,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Merchandise,Apple iPhone 14 Pro,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Device Cost discount,Apple iPhone 14 Pro,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Instant Discount,Apple iPhone 14 Pro,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Cashback,Apple iPhone 14 Pro,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Tradein Bumpup,Apple iPhone 14 Pro,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Bundle,Apple iPhone 14 Pro,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Merchandise,Apple iPhone 14 Pro,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Gift Card,Apple iPhone 14 Pro,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Rate Plan Discount(Max),Apple iPhone 14 Pro,144,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Instant Discount,Apple iPhone 14 Pro,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Cashback,Apple iPhone 14 Pro,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Tradein Bumpup,Apple iPhone 14 Pro,50,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Free Subscription,Apple iPhone 14 Pro,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Bundle,Apple iPhone 14 Plus,8,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Free Subscription,Apple iPhone 14 Plus,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Merchandise,Apple iPhone 14 Plus,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Device Cost discount,Apple iPhone 14 Plus,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Instant Discount,Apple iPhone 14 Plus,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Cashback,Apple iPhone 14 Plus,5,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Tradein Bumpup,Apple iPhone 14 Plus,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Bundle,Apple iPhone 14 Plus,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Merchandise,Apple iPhone 14 Plus,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Gift Card,Apple iPhone 14 Plus,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Rate Plan Discount(Max),Apple iPhone 14 Plus,144,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Instant Discount,Apple iPhone 14 Plus,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Cashback,Apple iPhone 14 Plus,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Tradein Bumpup,Apple iPhone 14 Plus,50,Apple,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Free Subscription,Apple iPhone 14 Plus,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Bundle,Apple iPhone 13 Pro Max,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Free Subscription,Apple iPhone 13 Pro Max,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Merchandise,Apple iPhone 13 Pro Max,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Device Cost discount,Apple iPhone 13 Pro Max,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Instant Discount,Apple iPhone 13 Pro Max,0,Apple,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Cashback,Apple iPhone 13 Pro Max,0,Apple,20,15-05-2023,Orange,Orange
